"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"United Kingdom (UK)","02.01.2023 15:00 - 02.01.2023 15:30 (CET/CEST)","n/e","n/e","n/e","n/e","217","0","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","272"
"United Kingdom (UK)","02.01.2023 15:30 - 02.01.2023 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","216","2","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","280"
"United Kingdom (UK)","02.01.2023 16:00 - 02.01.2023 16:30 (CET/CEST)","n/e","n/e","n/e","n/e","219","17","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","320"
"United Kingdom (UK)","02.01.2023 16:30 - 02.01.2023 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","243","41","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","338"
"United Kingdom (UK)","02.01.2023 17:00 - 02.01.2023 17:30 (CET/CEST)","n/e","n/e","n/e","n/e","271","51","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","415"
"United Kingdom (UK)","02.01.2023 17:30 - 02.01.2023 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","297","48","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","480"
"United Kingdom (UK)","02.01.2023 18:00 - 02.01.2023 18:30 (CET/CEST)","n/e","n/e","n/e","n/e","365","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","501"
"United Kingdom (UK)","02.01.2023 18:30 - 02.01.2023 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","401","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","496"
"United Kingdom (UK)","02.01.2023 19:00 - 02.01.2023 19:30 (CET/CEST)","n/e","n/e","n/e","n/e","355","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","554"
"United Kingdom (UK)","02.01.2023 19:30 - 02.01.2023 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","296","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","574"
"United Kingdom (UK)","02.01.2023 20:00 - 02.01.2023 20:30 (CET/CEST)","n/e","n/e","n/e","n/e","273","46","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","613"
